date,daily_new_cases,daily_new_deaths
2020-1-22,0.0,0.0
2020-1-23,259.0,8.0
2020-1-24,457.0,16.0
2020-1-25,688.0,15.0
2020-1-26,769.0,24.0
2020-1-27,1771.0,26.0
2020-1-28,1459.0,26.0
2020-1-29,1737.0,38.0
2020-1-30,1981.0,43.0
2020-1-31,2099.0,46.0
2020-10-01,328816.0,5596.0
2020-10-02,334586.0,5732.0
2020-10-03,311734.0,4980.0
2020-10-04,265242.0,4367.0
2020-10-05,272205.0,4777.0
2020-10-06,319422.0,5890.0
2020-10-07,356506.0,5999.0
2020-10-08,363364.0,6598.0
2020-10-09,370471.0,5986.0
2020-10-10,380053.0,5322.0
2020-10-11,295767.0,4742.0
2020-10-12,274233.0,4376.0
2020-10-13,327872.0,5256.0
2020-10-14,387328.0,6191.0
2020-10-15,406421.0,6122.0
2020-10-16,423395.0,6422.0
2020-10-17,405340.0,5851.0
2020-10-18,348304.0,4495.0
2020-10-19,333924.0,5059.0
2020-10-20,401354.0,6534.0
2020-10-21,447397.0,6920.0
2020-10-22,491333.0,6646.0
2020-10-23,499388.0,6717.0
2020-10-24,484642.0,5970.0
2020-10-25,432684.0,4940.0
2020-10-26,396739.0,5841.0
2020-10-27,476717.0,7250.0
2020-10-28,519859.0,7123.0
2020-10-29,551745.0,7228.0
2020-10-30,575364.0,7644.0
2020-10-31,514375.0,6949.0
2020-11-01,468583.0,6067.0
2020-11-02,451915.0,6773.0
2020-11-03,517364.0,8616.0
2020-11-04,578934.0,9260.0
2020-11-05,627195.0,9380.0
2020-11-06,630339.0,9519.0
2020-11-07,639621.0,8137.0
2020-11-08,506460.0,7017.0
2020-11-09,470674.0,7862.0
2020-11-10,583884.0,9755.0
2020-11-11,634453.0,9981.0
2020-11-12,648087.0,9754.0
2020-11-13,660851.0,10325.0
2020-11-14,612879.0,9731.0
2020-11-15,517277.0,7983.0
2020-11-16,487466.0,8695.0
2020-11-17,585312.0,10861.0
2020-11-18,627857.0,11905.0
2020-11-19,663713.0,11392.0
2020-11-20,668874.0,11366.0
2020-11-21,617038.0,9808.0
2020-11-22,524705.0,8664.0
2020-11-23,523417.0,9425.0
2020-11-24,585494.0,12316.0
2020-11-25,643544.0,12119.0
2020-11-26,626587.0,11483.0
2020-11-27,611345.0,11361.0
2020-11-28,602176.0,10205.0
2020-11-29,529597.0,8711.0
2020-11-30,488500.0,9838.0
2020-12-01,597101.0,12480.0
2020-12-02,649065.0,12351.0
2020-12-03,697999.0,12755.0
2020-12-04,697024.0,12468.0
2020-12-05,654324.0,11042.0
2020-12-06,552048.0,8903.0
2020-12-07,517287.0,9803.0
2020-12-08,625401.0,12413.0
2020-12-09,668938.0,12477.0
2020-12-10,704544.0,12959.0
2020-12-11,716403.0,12715.0
2020-12-12,670119.0,11323.0
2020-12-13,559416.0,9095.0
2020-12-14,530641.0,10248.0
2020-12-15,627959.0,13437.0
2020-12-16,737568.0,13692.0
2020-12-17,738618.0,13374.0
2020-12-18,729329.0,13132.0
2020-12-19,659723.0,11566.0
2020-12-20,560371.0,9412.0
2020-12-21,534389.0,11189.0
2020-12-22,637585.0,13788.0
2020-12-23,707008.0,13581.0
2020-12-24,703240.0,12246.0
2020-12-25,548143.0,9728.0
2020-12-26,451051.0,8909.0
2020-12-27,461563.0,9228.0
2020-12-28,504570.0,11021.0
2020-12-29,638049.0,14978.0
2020-12-30,773730.0,15139.0
2020-12-31,780402.0,13879.0
2020-2-01,2589.0,45.0
2020-2-02,2825.0,57.0
2020-2-03,3235.0,64.0
2020-2-04,3884.0,65.0
2020-2-05,3694.0,73.0
2020-2-06,3143.0,73.0
2020-2-07,3385.0,86.0
2020-2-08,2652.0,89.0
2020-2-09,2973.0,97.0
2020-2-10,2467.0,108.0
2020-2-11,2015.0,97.0
2020-2-12,14108.0,146.0
2020-2-13,5090.0,121.0
2020-2-14,2641.0,143.0
2020-2-15,2008.0,142.0
2020-2-16,2088.0,105.0
2020-2-17,1932.0,98.0
2020-2-18,1793.0,136.0
2020-2-19,453.0,115.0
2020-2-20,1021.0,119.0
2020-2-21,1057.0,113.0
2020-2-22,1039.0,100.0
2020-2-23,567.0,157.0
2020-2-24,986.0,81.0
2020-2-25,857.0,63.0
2020-2-26,1127.0,37.0
2020-2-27,1445.0,58.0
2020-2-28,1825.0,63.0
2020-2-29,2212.0,54.0
2020-3-01,2619.0,73.0
2020-3-02,2621.0,67.0
2020-3-03,3328.0,86.0
2020-3-04,3181.0,85.0
2020-3-05,4332.0,103.0
2020-3-06,5047.0,109.0
2020-3-07,5774.0,105.0
2020-3-08,5853.0,227.0
2020-3-09,7224.0,199.0
2020-3-10,8862.0,277.0
2020-3-11,11460.0,332.0
2020-3-12,14357.0,381.0
2020-3-13,16954.0,462.0
2020-3-14,17552.0,423.0
2020-3-15,18973.0,709.0
2020-3-16,21023.0,683.0
2020-3-17,24220.0,878.0
2020-3-18,28186.0,1018.0
2020-3-19,32407.0,1089.0
2020-3-20,38875.0,1427.0
2020-3-21,34184.0,1702.0
2020-3-22,37717.0,1813.0
2020-3-23,44199.0,2083.0
2020-3-24,47155.0,2602.0
2020-3-25,51146.0,2633.0
2020-3-26,62967.0,3174.0
2020-3-27,67665.0,3594.0
2020-3-28,68462.0,3911.0
2020-3-29,61683.0,3682.0
2020-3-30,64583.0,4461.0
2020-3-31,77935.0,4858.0
2020-4-01,79019.0,5397.0
2020-4-02,80007.0,6424.0
2020-4-03,87273.0,6285.0
2020-4-04,83571.0,6396.0
2020-4-05,73208.0,5568.0
2020-4-06,76729.0,6288.0
2020-4-07,85270.0,7494.0
2020-4-08,89195.0,6943.0
2020-4-09,91151.0,7894.0
2020-4-10,92996.0,7242.0
2020-4-11,85434.0,6617.0
2020-4-12,75844.0,6236.0
2020-4-13,76125.0,6364.0
2020-4-14,79927.0,7522.0
2020-4-15,87852.0,8474.0
2020-4-16,88495.0,7074.0
2020-4-17,91594.0,8841.0
2020-4-18,85087.0,6685.0
2020-4-19,78389.0,5766.0
2020-4-20,82423.0,6529.0
2020-4-21,82762.0,7368.0
2020-4-22,85058.0,7018.0
2020-4-23,90598.0,7274.0
2020-4-24,97150.0,6657.0
2020-4-25,92233.0,6663.0
2020-4-26,75412.0,4933.0
2020-4-27,71411.0,5766.0
2020-4-28,80473.0,7171.0
2020-4-29,90194.0,7077.0
2020-4-30,88991.0,6311.0
2020-5-01,94589.0,6538.0
2020-5-02,83797.0,6370.0
2020-5-03,82251.0,4842.0
2020-5-04,80720.0,5679.0
2020-5-05,83238.0,6210.0
2020-5-06,95432.0,7279.0
2020-5-07,95829.0,6260.0
2020-5-08,96625.0,6078.0
2020-5-09,88600.0,5598.0
2020-5-10,79746.0,5389.0
2020-5-11,72477.0,4872.0
2020-5-12,89992.0,6223.0
2020-5-13,93134.0,5678.0
2020-5-14,98649.0,5906.0
2020-5-15,102509.0,5757.0
2020-5-16,97124.0,4980.0
2020-5-17,83425.0,4435.0
2020-5-18,91601.0,4597.0
2020-5-19,100170.0,5808.0
2020-5-20,107824.0,5373.0
2020-5-21,109579.0,5752.0
2020-5-22,110352.0,5440.0
2020-5-23,102540.0,4844.0
2020-5-24,98253.0,4036.0
2020-5-25,92396.0,4607.0
2020-5-26,95038.0,4840.0
2020-5-27,110407.0,5486.0
2020-5-28,120594.0,5118.0
2020-5-29,129596.0,5346.0
2020-5-30,127406.0,4870.0
2020-5-31,111060.0,4290.0
2020-6-01,103257.0,4187.0
2020-6-02,120635.0,5513.0
2020-6-03,123834.0,5545.0
2020-6-04,133777.0,5601.0
2020-6-05,133557.0,5161.0
2020-6-06,131342.0,4939.0
2020-6-07,117068.0,4700.0
2020-6-08,110107.0,4424.0
2020-6-09,124429.0,5480.0
2020-6-10,140636.0,5807.0
2020-6-11,142226.0,5631.0
2020-6-12,144664.0,5412.0
2020-6-13,137998.0,5144.0
2020-6-14,126676.0,4473.0
2020-6-15,128596.0,4647.0
2020-6-16,148986.0,7415.0
2020-6-17,151394.0,5923.0
2020-6-18,146013.0,5952.0
2020-6-19,186754.0,5852.0
2020-6-20,162264.0,5093.0
2020-6-21,134818.0,4546.0
2020-6-22,143351.0,4135.0
2020-6-23,169162.0,5803.0
2020-6-24,180464.0,5542.0
2020-6-25,186430.0,5563.0
2020-6-26,199211.0,5403.0
2020-6-27,184034.0,5224.0
2020-6-28,168915.0,4333.0
2020-6-29,163080.0,4809.0
2020-6-30,183778.0,5769.0
2020-7-01,204022.0,5455.0
2020-7-02,216619.0,5704.0
2020-7-03,220000.0,5734.0
2020-7-04,201203.0,5283.0
2020-7-05,180587.0,4413.0
2020-7-06,176777.0,4643.0
2020-7-07,216450.0,6223.0
2020-7-08,221009.0,5919.0
2020-7-09,231374.0,6099.0
2020-7-10,243196.0,5990.0
2020-7-11,222827.0,5682.0
2020-7-12,202611.0,5119.0
2020-7-13,197096.0,4860.0
2020-7-14,228256.0,6367.0
2020-7-15,242217.0,6340.0
2020-7-16,254681.0,6666.0
2020-7-17,246373.0,6324.0
2020-7-18,232574.0,5796.0
2020-7-19,222683.0,5158.0
2020-7-20,206381.0,5161.0
2020-7-21,247321.0,6729.0
2020-7-22,286666.0,7602.0
2020-7-23,281116.0,6913.0
2020-7-24,294175.0,6862.0
2020-7-25,268538.0,6376.0
2020-7-26,224892.0,5149.0
2020-7-27,218459.0,5377.0
2020-7-28,256550.0,6485.0
2020-7-29,296686.0,7236.0
2020-7-30,291754.0,7004.0
2020-7-31,295983.0,6786.0
2020-8-01,264957.0,6219.0
2020-8-02,225422.0,5102.0
2020-8-03,202298.0,5486.0
2020-8-04,260761.0,6883.0
2020-8-05,278929.0,7422.0
2020-8-06,288179.0,7015.0
2020-8-07,288714.0,6971.0
2020-8-08,276600.0,6048.0
2020-8-09,227398.0,5482.0
2020-8-10,220226.0,5379.0
2020-8-11,274867.0,6749.0
2020-8-12,295103.0,6943.0
2020-8-13,291606.0,7006.0
2020-8-14,294849.0,6447.0
2020-8-15,271240.0,6076.0
2020-8-16,221792.0,5198.0
2020-8-17,205050.0,5244.0
2020-8-18,265597.0,6879.0
2020-8-19,281360.0,6852.0
2020-8-20,277226.0,6659.0
2020-8-21,270304.0,6617.0
2020-8-22,272618.0,6067.0
2020-8-23,217749.0,5098.0
2020-8-24,219804.0,5103.0
2020-8-25,262869.0,6673.0
2020-8-26,283014.0,6606.0
2020-8-27,282439.0,6527.0
2020-8-28,295235.0,6247.0
2020-8-29,270506.0,5707.0
2020-8-30,230821.0,4762.0
2020-8-31,250570.0,4919.0
2020-9-01,268370.0,6448.0
2020-9-02,294421.0,6497.0
2020-9-03,295671.0,6176.0
2020-9-04,313822.0,6139.0
2020-9-05,283328.0,5330.0
2020-9-06,244401.0,4648.0
2020-9-07,206677.0,4609.0
2020-9-08,254187.0,5069.0
2020-9-09,295614.0,6097.0
2020-9-10,307783.0,5913.0
2020-9-11,324461.0,5923.0
2020-9-12,296403.0,5288.0
2020-9-13,257170.0,4400.0
2020-9-14,250728.0,4793.0
2020-9-15,289943.0,6331.0
2020-9-16,312268.0,5993.0
2020-9-17,320213.0,5717.0
2020-9-18,329288.0,5804.0
2020-9-19,305083.0,5188.0
2020-9-20,260901.0,4330.0
2020-9-21,240051.0,4272.0
2020-9-22,288227.0,5743.0
2020-9-23,317495.0,5830.0
2020-9-24,320443.0,5506.0
2020-9-25,330414.0,5522.0
2020-9-26,306605.0,5265.0
2020-9-27,262364.0,4180.0
2020-9-28,241420.0,4044.0
2020-9-29,296150.0,5775.0
2020-9-30,323057.0,5675.0
2021-1-01,652173.0,10760.0
2021-1-02,550897.0,9761.0
2021-1-03,549980.0,9129.0
2021-1-04,557674.0,11126.0
2021-1-05,740851.0,14756.0
2021-1-06,813119.0,14677.0
2021-1-07,851350.0,14886.0
2021-1-08,832430.0,15125.0
2021-1-09,762184.0,12974.0
2021-1-10,635019.0,10545.0
2021-1-11,581782.0,11557.0
2021-1-12,701198.0,16484.0
2021-1-13,749848.0,16181.0
2021-1-14,751930.0,15800.0
2021-1-15,753502.0,15494.0
2021-1-16,683095.0,13797.0
2021-1-17,555941.0,10886.0
2021-1-18,471996.0,11549.0
2021-1-19,607878.0,15903.0
2021-1-20,665477.0,16770.0
2021-1-21,651838.0,16834.0
2021-1-22,636433.0,15869.0
2021-1-23,601357.0,14513.0
2021-1-24,480567.0,11148.0
2021-1-25,434759.0,11863.0
2021-1-26,544724.0,16440.0
2021-1-27,594941.0,16671.0
2021-1-28,596366.0,16453.0
2021-1-29,581130.0,15119.0
2021-1-30,532102.0,13138.0
2021-1-31,417166.0,10160.0
2021-10-01,482238.0,7858.0
2021-10-02,416555.0,6778.0
2021-10-03,359372.0,5766.0
2021-10-04,348900.0,5641.0
2021-10-05,435774.0,7812.0
2021-10-06,462942.0,8544.0
2021-10-07,473886.0,8052.0
2021-10-08,454987.0,7999.0
2021-10-09,401796.0,6576.0
2021-10-10,355214.0,5352.0
2021-10-11,332880.0,5310.0
2021-10-12,415684.0,6993.0
2021-10-13,455255.0,7765.0
2021-10-14,460382.0,7825.0
2021-10-15,446442.0,7326.0
2021-10-16,395848.0,6333.0
2021-10-17,343443.0,5228.0
2021-10-18,349071.0,5463.0
2021-10-19,438873.0,7334.0
2021-10-20,464688.0,7466.0
2021-10-21,474689.0,7631.0
2021-10-22,462348.0,8041.0
2021-10-23,418187.0,6528.0
2021-10-24,360746.0,5667.0
2021-10-25,343052.0,5940.0
2021-10-26,449073.0,7791.0
2021-10-27,482679.0,8813.0
2021-10-28,497070.0,8313.0
2021-10-29,477335.0,7913.0
2021-10-30,433099.0,6795.0
2021-10-31,371539.0,5431.0
2021-11-01,369495.0,5983.0
2021-11-02,422451.0,7194.0
2021-11-03,488497.0,7997.0
2021-11-04,531898.0,7737.0
2021-11-05,518054.0,7866.0
2021-11-06,470477.0,7012.0
2021-11-07,394651.0,5462.0
2021-11-08,392255.0,6175.0
2021-11-09,496386.0,7848.0
2021-11-10,561658.0,8443.0
2021-11-11,570258.0,7589.0
2021-11-12,546752.0,7974.0
2021-11-13,495032.0,6684.0
2021-11-14,418735.0,5405.0
2021-11-15,432063.0,5955.0
2021-11-16,537334.0,7710.0
2021-11-17,613689.0,8583.0
2021-11-18,631484.0,8341.0
2021-11-19,609282.0,7896.0
2021-11-20,561639.0,6556.0
